| Rank | Name | Age | Location | Role | Unit |
|------|------|-----|-----------|------|------|
| Master Sgt. (res.) | Oren Goldin Katz | 33 | Kibbutz Nir Yitzhak | Member of community security squad | Border Protection Corps |
| Sgt. Maj. (res.) | Ravid Aryeh Katz | 51 | Kibbutz Nir Oz | Member of community security squad | Border Protection Corps |
| Sgt. | Shay Levinson | 19 | Givat Avni | - | 77th Battalion, 7th Armored Brigade |
| Colonel | Asaf Hamami | 41 | Kiriat Ono | Commander | Southern Brigade, Gaza Division |
| Sgt. | Shaked Dahan | 19 | Afula | - | 77th Battalion, 7th Armored Brigade |
| Sgt. | Kiril Brodski | 29 | Ramat Gan | - | Brigade Commander's Forward Command Squad, Infantry Brigade |
| Staff Sgt. | Tomer Yaakov Ahimas | 20 | Lehavim | Radio Operator | Brigade Commander's Forward Command Squad, Infantry Brigade |
| Sgt. | Roni Eshel | 19 | Tzur Yitzhak | - | 414th Battalion, Border Defense Corps |
| Staff Sgt. | Yam Glass | 20 | Modi'in Maccabim-Reut | - | 414th Battalion, Border Defense Corps |
| Staff Sgt. | Shirel Haim Pour | 20 | Rishon LeZion | - | Northern Brigade, Gaza Division |
| Warrant Officer | Ziv Dado | 36 | Rehovot | - | Golani Infantry Brigade |
| Sgt. Maj. (res.) | Ran Poslushni | 48 | Kibbutz Nahal Oz | Member of community security squad | Border Defense Corps |
| Master Sgt. (res.) | Itay Yehoshua | 36 | Moshav Hadid | - | General Staff Unit for Personal Security, Operations Directorate |
| Sgt. Maj. (res.) | Arie Kraunik | 54 | Kibbutz Be'eri | Community military security coordinator | Border Defense Corps |
| Maj. (res.) | Oren Stern | 49 | Moshav Netiv HaAsara | Member of community security squad | Border Defense Corps |
| Sgt. Maj. (res.) | Hagay Avni | 50 | Kibbutz Be'eri | Member of community security squad | Border Defense Corps |
| Master Sgt. (res.) | Ofir Libstein | 50 | Kibbutz Kfar Aza | Head of Sha'ar HaNegev Regional Council | Border Defense Corps |
| Sgt. Maj. (res.) | Tal Eilon | - | Kibbutz Kfar Aza | Member of community security squad | Border Defense Corps |
| Master Sgt. (res.) | Yuval Gabay | 35 | Rehovot | - | Samaria Brigade |
