Location,Latitude,Longitude,Units,Exact time in which the attack started,Number of fatalities,Number of Injuired,Number of kidnapped,"7/10 Units "
Re’im military base,31.362732,34.449217,Shaldag,06:45,12,,0,Untitled (https://www.notion.so/06ff6562e7964629bb0ada19ff2c1f0f?pvs=21)
" Sufa military base",31.239006,34.342176,"Sayeret Nahal, Shayetet 13",06:30,12,,,"Untitled (https://www.notion.so/15f3256ad5f24b6b9d72d75b1d52b135?pvs=21), Untitled (https://www.notion.so/dee80bfd11d24b209535b5af81cb60be?pvs=21)"
Kisufim military base,31.375316,34.402138,"7th Armored Brigade, Egoz Commando, Golani 51, Yamam",06:50,19,,,
"Nahal Oz millitary base ",31.479973,34.501581,7th Armored Brigade,06:50,66,,7,
"Orim military base ",31.314444,34.542935,Lotar,07:30,8,,0,
"Nova festival ",31.397774,34.471685,Paratroopers Brigade,06:30,364,,40,
Psyduck festival,31.322222,34.400556,No military response,06:30,17,,0,
Sderot Police Station,31.522443,34.592029,"Magav, Yamam",23:00,10,,0,
Ofakim,31.311337,34.622824,"Magav, Shabak, Yamas",06:45,50,,0,
Kibbutz Be'eri,31.424513,34.492567,"Division 99, Oketz, Paratroopers Brigade, Refaim, Sayeret Matkal, Shaldag, Yamam",06:29,125,,25,
Kibbutz Nativ Ha'Asara,31.572407,34.539322,"Nahal Brigade, Paratroopers Brigade",06:30,24,,,
Kibbutz Kfar Aza,31.483416,34.532291,"89 Brigade, Duvdevan Commando, Maglan Commando, Nahal Brigade, Oketz, Paratroopers Brigade, Sayeret Nahal, Yahalom",06:31,74,,19,
Kibbutz Holit,31.230563,34.327344,"Lotar, Shaldag",06:40,15,,4,
Kibbutz Nir Oz,31.310278,34.402222,No military response,06:30,37,,75,
Kibbutz Nahal Oz,31.472633,34.497883,"89 Brigade, Maglan Commando, Paratroopers Brigade, Shayetet 13, Yamas",06:40,35,,10,
Kibbutz Sufa,31.237457,34.341964,"Lotar, Nahal Brigade, Sayeret Nahal",06:55,3,,0,
Kibbutz Ein HaShlosha,31.350903,34.400535,No military response,06:30,4,,0,
Moshav Yakhini,31.482125,34.598668,Caracal Battalion,07:40,7,,0,
"Kibbutz Zikim ",31.607145,34.520456,No military response,07:00,0,,0,
Kibbutz Kerem Shalom,31.228326,34.281879,"Nahal Brigade, Sayeret Nahal",06:30,4,,0,
Kibbutz Nir Am,31.518123,34.581843,"Magav, Yamam",06:30,2,,1,
"Kibbutz Alumim ",31.452826,34.513025,"Division 99, Paratroopers Brigade, Refaim, Shaldag",07:00,16,,8,
"Kibbutz Sa'ad ",31.470267,34.534853,"89 Brigade, Division 99, Maglan Commando",11:00,0,,0,
Kibbutz Kisufim,31.374167,34.399444,"89 Brigade, Unit 669",07:00,18,,1,
"Kibbutz Re'im ",31.385553,34.459385,"Division 99, Kfir, Refaim",06:30,7,,5,
Zikim millitary base,31.604193,34.510175,Maglan Commando,07:30,20,,0,
Zikim Beach,31.612816,34.504361,"89 Brigade, Shayetet 13",07:00,28,,0,
" Kibbutz Erez",31.560056,34.564632,No military response,06:30,2,,0,
" Kibbutz Nir Yitzhak",31.235814,34.357982,Lotar,06:30,7,,5,
" Kibbutz Magen",31.298114,34.427197,No military response,07:00,2,,0,
" Kibbutz Pri Gan",31.222243,34.355898,No military response,06:30,2,5,0,
" Kibbutz Mefalsim",31.501868,34.562415,"Shabak, Yamam",06:30,8,,0,
kibbutz Nirim,31.335875,34.394184,Duvdevan Commando,06:30,9,,5,
Moshav Ein HaBesor,31.282312,34.440369,No military response,06:30,0,,0,
Kibbutz Gevim,31.506139,34.598881,No military response,06:30,0,,0,
" Moshav Yated",31.206813,34.326192,No military response,06:30,0,,0,
Re'im military Base,31.362555,34.449316,Shaldag,06:45,12,,,
moshav Mivtahim,31.242433,34.407388,No military response,07:00,5,,0,
